epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,263.437,1.33734,0.89012,1.31996,0.81598,0.66105,0.7305,0.38793,1.68336,1.07576,1.53695,0.0014588,0.0014588,0.0014588
43,268.932,1.29592,0.85401,1.30735,0.81036,0.59528,0.70574,0.38029,1.70279,1.09432,1.52884,0.0014456,0.0014456,0.0014456
44,274.367,1.29978,0.83892,1.30237,0.78526,0.61668,0.70737,0.38019,1.70027,1.09563,1.55586,0.0014324,0.0014324,0.0014324
45,279.88,1.30544,0.84592,1.3123,0.79257,0.62499,0.71695,0.39242,1.68824,1.06719,1.55468,0.0014192,0.0014192,0.0014192
46,285.627,1.30781,0.85432,1.30949,0.74462,0.6425,0.70354,0.37404,1.67893,1.07449,1.57023,0.001406,0.001406,0.001406
47,291.476,1.31147,0.85212,1.31109,0.7417,0.64081,0.70716,0.36856,1.7351,1.1783,1.56789,0.0013928,0.0013928,0.0013928
48,297.103,1.32653,0.85546,1.32235,0.75723,0.6172,0.68812,0.34909,1.76775,1.12248,1.63043,0.0013796,0.0013796,0.0013796
49,302.923,1.32371,0.84177,1.32976,0.73563,0.65694,0.69885,0.36474,1.77603,1.13809,1.6735,0.0013664,0.0013664,0.0013664
50,308.625,1.26405,0.80129,1.27924,0.78556,0.63912,0.72736,0.3854,1.70578,1.06375,1.56807,0.0013532,0.0013532,0.0013532
51,314.097,1.27143,0.81147,1.29068,0.75123,0.64675,0.6944,0.35135,1.78295,1.09981,1.65414,0.00134,0.00134,0.00134
52,319.802,1.27375,0.79646,1.2893,0.72652,0.61214,0.65863,0.34399,1.78443,1.14791,1.65778,0.0013268,0.0013268,0.0013268
53,325.657,1.2795,0.81795,1.29128,0.74537,0.66105,0.71193,0.37785,1.71285,1.06156,1.56969,0.0013136,0.0013136,0.0013136
54,331.544,1.29383,0.8088,1.288,0.718,0.68698,0.71137,0.36304,1.79015,1.08951,1.63895,0.0013004,0.0013004,0.0013004
55,337.431,1.22155,0.77974,1.25274,0.78025,0.64666,0.71903,0.39378,1.68249,1.03849,1.56953,0.0012872,0.0012872,0.0012872
56,343.262,1.25242,0.79349,1.25926,0.74944,0.65093,0.70938,0.38305,1.69739,1.03595,1.57382,0.001274,0.001274,0.001274
57,348.803,1.24581,0.77879,1.26592,0.73523,0.65936,0.71413,0.38665,1.68369,1.06921,1.5311,0.0012608,0.0012608,0.0012608
58,354.379,1.23373,0.77855,1.25817,0.8176,0.60708,0.71208,0.3819,1.66836,1.09631,1.55102,0.0012476,0.0012476,0.0012476
59,359.974,1.22583,0.76216,1.24481,0.74865,0.6425,0.70861,0.37959,1.70586,1.07487,1.59841,0.0012344,0.0012344,0.0012344
60,365.487,1.18667,0.74304,1.23384,0.72867,0.62901,0.68914,0.36284,1.7524,1.10426,1.62889,0.0012212,0.0012212,0.0012212
61,371.172,1.18595,0.72791,1.22383,0.79371,0.6034,0.70225,0.36341,1.77844,1.10084,1.63863,0.001208,0.001208,0.001208
62,378.67,1.17988,0.72455,1.22634,0.77918,0.64418,0.71209,0.38198,1.71853,1.0376,1.57541,0.0011948,0.0011948,0.0011948
63,386.453,1.1835,0.717,1.22522,0.7345,0.65599,0.70421,0.38459,1.71949,1.05353,1.56977,0.0011816,0.0011816,0.0011816
64,393.626,1.18227,0.72311,1.2242,0.74874,0.63317,0.68811,0.36002,1.70421,1.11516,1.56166,0.0011684,0.0011684,0.0011684
65,400.644,1.18864,0.73461,1.2318,0.739,0.64755,0.70015,0.37057,1.69585,1.09804,1.59725,0.0011552,0.0011552,0.0011552
66,407.671,1.15321,0.70499,1.21438,0.75852,0.64587,0.71475,0.3839,1.68821,1.10093,1.59005,0.001142,0.001142,0.001142
67,415.221,1.15073,0.70183,1.21211,0.71869,0.67209,0.70502,0.36866,1.72034,1.0788,1.6364,0.0011288,0.0011288,0.0011288
68,422.861,1.15291,0.70206,1.21168,0.74417,0.63278,0.68062,0.36187,1.75447,1.06955,1.68058,0.0011156,0.0011156,0.0011156
69,430.48,1.13038,0.69138,1.19869,0.79236,0.62732,0.72795,0.37672,1.75873,1.04235,1.63051,0.0011024,0.0011024,0.0011024
70,437.713,1.10996,0.66608,1.17917,0.70149,0.6661,0.7157,0.37724,1.72132,1.07839,1.61765,0.0010892,0.0010892,0.0010892
71,443.195,1.12108,0.68281,1.1844,0.75489,0.6543,0.71413,0.35212,1.81302,1.10349,1.70616,0.001076,0.001076,0.001076
72,448.743,1.15095,0.68281,1.20206,0.75604,0.64281,0.7246,0.38349,1.68473,1.05952,1.60611,0.0010628,0.0010628,0.0010628
73,454.255,1.11729,0.68184,1.17368,0.7733,0.66273,0.72118,0.37689,1.72196,1.12495,1.62122,0.0010496,0.0010496,0.0010496
74,459.703,1.13038,0.67981,1.18331,0.75216,0.66442,0.72224,0.37965,1.68791,1.04825,1.60244,0.0010364,0.0010364,0.0010364
75,465.233,1.10513,0.67444,1.177,0.81755,0.64229,0.72032,0.3808,1.73334,1.06641,1.60401,0.0010232,0.0010232,0.0010232
76,470.732,1.10059,0.66269,1.17464,0.77609,0.62563,0.69651,0.36303,1.77223,1.0817,1.65526,0.00101,0.00101,0.00101
77,476.224,1.08596,0.66347,1.17104,0.72386,0.65261,0.68245,0.35561,1.73237,1.12322,1.6248,0.0009968,0.0009968,0.0009968
78,481.829,1.10802,0.65509,1.16768,0.77495,0.62057,0.69973,0.36579,1.70688,1.06746,1.56681,0.0009836,0.0009836,0.0009836
79,487.335,1.09576,0.65051,1.16306,0.73565,0.65699,0.69475,0.3682,1.69633,1.01935,1.58014,0.0009704,0.0009704,0.0009704
80,492.855,1.07101,0.63763,1.15729,0.74061,0.68853,0.71916,0.37579,1.72384,1.0107,1.58391,0.0009572,0.0009572,0.0009572
81,498.378,1.05773,0.63158,1.15885,0.7481,0.67612,0.71016,0.37963,1.70741,1.04213,1.5991,0.000944,0.000944,0.000944
82,503.885,1.0409,0.63217,1.14915,0.75271,0.66779,0.70368,0.36603,1.76013,1.05824,1.66276,0.0009308,0.0009308,0.0009308
83,509.46,1.06072,0.63341,1.15441,0.76715,0.64418,0.69576,0.36183,1.7981,1.08231,1.67837,0.0009176,0.0009176,0.0009176
84,514.95,1.0387,0.61622,1.13915,0.7742,0.63744,0.71145,0.36842,1.75767,1.03295,1.67725,0.0009044,0.0009044,0.0009044
85,520.48,1.04325,0.62114,1.14425,0.78576,0.62057,0.71103,0.37704,1.78607,1.04386,1.67187,0.0008912,0.0008912,0.0008912
86,525.997,1.04274,0.61957,1.14801,0.73292,0.66273,0.70491,0.37371,1.73584,1.00977,1.69074,0.000878,0.000878,0.000878
87,531.543,1.02518,0.60714,1.13578,0.76732,0.67847,0.72463,0.38239,1.74216,1.02175,1.62681,0.0008648,0.0008648,0.0008648
88,537.065,1.02221,0.61026,1.14042,0.74834,0.66442,0.72028,0.39179,1.71804,0.99822,1.63406,0.0008516,0.0008516,0.0008516
89,542.555,0.99902,0.59391,1.11964,0.78472,0.63406,0.72786,0.38383,1.73143,1.02423,1.63806,0.0008384,0.0008384,0.0008384
90,548.096,0.9904,0.59124,1.11039,0.76147,0.6796,0.73191,0.38287,1.69307,1.02966,1.61614,0.0008252,0.0008252,0.0008252
91,553.59,1.02682,0.6117,1.13305,0.74845,0.65936,0.72371,0.37713,1.72845,1.02902,1.67596,0.000812,0.000812,0.000812
92,559.108,1.01386,0.59865,1.12087,0.73066,0.66442,0.70795,0.37391,1.75495,1.04954,1.66132,0.0007988,0.0007988,0.0007988
93,564.603,0.99557,0.59386,1.11826,0.76648,0.63406,0.70215,0.37649,1.72512,1.05715,1.62579,0.0007856,0.0007856,0.0007856
94,570.209,0.96214,0.57229,1.09653,0.72557,0.65599,0.70725,0.38132,1.73161,1.06607,1.62838,0.0007724,0.0007724,0.0007724
95,575.73,0.96871,0.57251,1.10128,0.79196,0.63912,0.71935,0.38124,1.77601,1.06512,1.68537,0.0007592,0.0007592,0.0007592
96,581.199,1.01472,0.59418,1.11478,0.76225,0.64338,0.7033,0.37617,1.75001,1.05213,1.65562,0.000746,0.000746,0.000746
97,586.771,0.98748,0.58381,1.10904,0.7123,0.68803,0.71594,0.37289,1.79496,1.08858,1.67659,0.0007328,0.0007328,0.0007328
98,592.276,0.99957,0.58516,1.1067,0.75673,0.66442,0.72615,0.38377,1.75626,1.06398,1.6863,0.0007196,0.0007196,0.0007196
99,597.708,0.99002,0.5868,1.10994,0.796,0.6543,0.72561,0.38183,1.74735,1.08678,1.63121,0.0007064,0.0007064,0.0007064
100,603.351,1.00293,0.57812,1.11066,0.78369,0.6293,0.70493,0.3745,1.78882,1.08855,1.67964,0.0006932,0.0006932,0.0006932
101,608.828,0.92065,0.55309,1.07645,0.7561,0.63238,0.70434,0.3768,1.76758,1.09729,1.67122,0.00068,0.00068,0.00068
102,614.343,0.94297,0.54741,1.08017,0.76538,0.62901,0.71174,0.37581,1.7461,1.1191,1.67176,0.0006668,0.0006668,0.0006668
103,619.867,0.92577,0.54466,1.07284,0.82616,0.6054,0.70467,0.37675,1.7603,1.11671,1.67455,0.0006536,0.0006536,0.0006536
104,625.423,0.95189,0.56864,1.08827,0.78191,0.64087,0.71622,0.38272,1.75067,1.06185,1.67206,0.0006404,0.0006404,0.0006404
105,631.011,0.95267,0.56669,1.10159,0.77199,0.63948,0.7089,0.3826,1.7532,1.05912,1.65772,0.0006272,0.0006272,0.0006272
106,636.582,0.92145,0.54512,1.0777,0.79034,0.62934,0.70545,0.37605,1.75525,1.03744,1.6475,0.000614,0.000614,0.000614
107,642.011,0.88898,0.53081,1.05885,0.77943,0.63744,0.71744,0.38257,1.75399,1.06897,1.65113,0.0006008,0.0006008,0.0006008
108,647.506,0.90232,0.53362,1.06736,0.80547,0.6354,0.72046,0.38224,1.7781,1.05689,1.68979,0.0005876,0.0005876,0.0005876
109,653.021,0.8884,0.53857,1.06029,0.77055,0.64081,0.71474,0.37538,1.78169,1.07676,1.67411,0.0005744,0.0005744,0.0005744
110,658.498,0.8852,0.52856,1.05721,0.78004,0.65261,0.71978,0.37883,1.77416,1.05085,1.668,0.0005612,0.0005612,0.0005612
111,663.98,0.88313,0.53464,1.05655,0.77757,0.65599,0.71016,0.37324,1.79355,1.02648,1.69083,0.000548,0.000548,0.000548
112,669.458,0.92051,0.54202,1.0767,0.80787,0.63238,0.71067,0.373,1.80239,1.03273,1.73153,0.0005348,0.0005348,0.0005348
113,674.971,0.89742,0.52906,1.05604,0.79042,0.63406,0.70774,0.37017,1.78215,1.07309,1.70293,0.0005216,0.0005216,0.0005216
114,680.529,0.8858,0.53137,1.05508,0.7597,0.64755,0.70684,0.37405,1.75981,1.09281,1.66628,0.0005084,0.0005084,0.0005084
115,686.055,0.88788,0.52425,1.04916,0.72696,0.65936,0.69867,0.36892,1.77973,1.1009,1.75147,0.0004952,0.0004952,0.0004952
