epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.18545,2.06422,2.51402,2.01757,0.5649,0.5801,0.56123,0.22169,1.87167,4.76614,1.75351,0.00034,0.00034,0.00034
2,13.1826,1.75103,1.62533,1.62699,0.37954,0.51096,0.29366,0.12443,2.01766,3.49593,1.75825,0.00069307,0.00069307,0.00069307
3,19.007,1.72695,1.47234,1.5897,0.50104,0.54469,0.51146,0.21125,1.93845,2.1976,1.8089,0.00103901,0.00103901,0.00103901
4,24.7328,1.70782,1.44642,1.58339,0.52351,0.5312,0.49028,0.19194,2.02839,2.00777,1.92561,0.00137783,0.00137783,0.00137783
5,30.7788,1.72166,1.43116,1.59121,0.08425,0.41653,0.06845,0.03048,2.07194,12.3564,2.00703,0.00170951,0.00170951,0.00170951
6,37.868,1.73009,1.37524,1.54376,0.63929,0.50422,0.54981,0.22412,1.92178,2.16632,1.80865,0.001901,0.001901,0.001901
7,44.399,1.67139,1.29796,1.56947,0.41755,0.46301,0.34423,0.15352,1.93993,2.6684,1.80145,0.0018812,0.0018812,0.0018812
8,50.8246,1.64761,1.26864,1.5288,0.43306,0.57841,0.39655,0.17479,1.86228,2.2319,1.75129,0.0018614,0.0018614,0.0018614
9,57.1646,1.62975,1.23406,1.52875,0.56354,0.52951,0.5236,0.2242,2.06516,1.91955,1.84938,0.0018416,0.0018416,0.0018416
10,63.6323,1.59859,1.19123,1.49507,0.70219,0.58847,0.65267,0.32056,1.79322,1.49063,1.64104,0.0018218,0.0018218,0.0018218
11,72.5028,1.5838,1.17712,1.48593,0.71957,0.60371,0.63505,0.27317,2.02936,1.63578,1.81203,0.001802,0.001802,0.001802
12,80.5655,1.64369,1.19449,1.51805,0.4819,0.47555,0.37568,0.17077,1.95145,1.92209,1.75764,0.0017822,0.0017822,0.0017822
13,88.504,1.65428,1.25715,1.54077,0.35608,0.41484,0.30929,0.15711,1.85221,2.76234,1.70748,0.0017624,0.0017624,0.0017624
14,96.1956,1.62149,1.23189,1.49297,0.64258,0.53966,0.58073,0.26126,1.93242,1.51268,1.70416,0.0017426,0.0017426,0.0017426
15,104.427,1.5612,1.14513,1.45558,0.69609,0.5801,0.6464,0.31857,1.79367,1.24702,1.61637,0.0017228,0.0017228,0.0017228
16,112.946,1.58888,1.14183,1.47765,0.59856,0.53557,0.57159,0.27631,1.84357,1.42591,1.65934,0.001703,0.001703,0.001703
17,121.274,1.51878,1.0949,1.41904,0.69999,0.58231,0.65724,0.30362,1.84294,1.69513,1.65587,0.0016832,0.0016832,0.0016832
18,129.555,1.56143,1.1029,1.44922,0.7248,0.63512,0.69294,0.34616,1.72282,1.24073,1.54974,0.0016634,0.0016634,0.0016634
19,135.665,1.50603,1.0619,1.41728,0.73096,0.58179,0.67004,0.31613,1.8461,1.33437,1.63525,0.0016436,0.0016436,0.0016436
20,141.628,1.54519,1.08178,1.42905,0.77857,0.61046,0.68999,0.32983,1.92536,1.23226,1.65773,0.0016238,0.0016238,0.0016238
21,147.743,1.52065,1.1015,1.42303,0.7426,0.61551,0.70435,0.33313,1.80865,1.35996,1.59035,0.001604,0.001604,0.001604
22,153.589,1.49191,1.06723,1.40987,0.75906,0.59865,0.6966,0.31767,1.91308,1.26182,1.62983,0.0015842,0.0015842,0.0015842
