epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3164,1.95094,2.88462,1.67961,0.03439,0.7656,0.28279,0.12846,1.73338,2.69117,1.41955,0.00042,0.00042,0.00042
2,98.2138,1.80634,1.65356,1.41363,0.66137,0.52277,0.56153,0.25532,1.81017,1.82527,1.34822,0.000851486,0.000851486,0.000851486
3,143.006,1.77967,1.54388,1.38099,0.59829,0.54637,0.57796,0.27347,1.78977,1.59922,1.45577,0.00127426,0.00127426,0.00127426
4,187.768,1.73892,1.48294,1.37095,0.70731,0.53385,0.6402,0.31316,1.76426,1.51304,1.49646,0.00168832,0.00168832,0.00168832
5,232.656,1.72,1.44431,1.39805,0.72616,0.53662,0.62957,0.31707,1.70955,1.46801,1.40332,0.0019208,0.0019208,0.0019208
6,283.113,1.69426,1.44074,1.38054,0.58271,0.55987,0.52454,0.26213,1.72125,1.86824,1.44043,0.001901,0.001901,0.001901
7,332.678,1.68755,1.43689,1.36203,0.70352,0.60024,0.66998,0.34421,1.69718,1.53851,1.43761,0.0018812,0.0018812,0.0018812
8,376.248,1.68898,1.43296,1.3798,0.59674,0.59865,0.58307,0.30767,1.65935,1.50197,1.42513,0.0018614,0.0018614,0.0018614
9,420.196,1.67663,1.39801,1.38171,0.72102,0.61046,0.6738,0.33628,1.6951,1.55431,1.44625,0.0018416,0.0018416,0.0018416
