epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.18304,2.00117,3.14435,1.82367,0.03356,0.74705,0.20329,0.06946,1.89403,3.11385,1.41431,0.00034,0.00034,0.00034
2,9.07879,1.81696,2.29363,1.47246,0.03477,0.77403,0.251,0.08642,2.07633,2.872,1.43425,0.00069538,0.00069538,0.00069538
3,12.9602,1.83721,1.74339,1.50824,0.53669,0.26644,0.33214,0.15335,1.89853,2.35037,1.46337,0.00104601,0.00104601,0.00104601
4,16.7141,1.74136,1.60876,1.51819,0.43897,0.44071,0.39465,0.18159,1.86918,1.99558,1.51954,0.00139188,0.00139188,0.00139188
5,20.5276,1.68589,1.53575,1.47188,0.57911,0.54469,0.5221,0.23718,1.9076,1.90548,1.59402,0.00173301,0.00173301,0.00173301
6,24.2707,1.70114,1.54456,1.45382,0.51751,0.44314,0.4388,0.20687,1.88776,1.87029,1.55683,0.001934,0.001934,0.001934
7,27.9325,1.66648,1.48945,1.45644,0.62701,0.49042,0.53961,0.23886,1.97542,1.64302,1.72916,0.0019208,0.0019208,0.0019208
8,31.623,1.69517,1.47237,1.47727,0.66774,0.56259,0.60452,0.27886,1.80664,1.53667,1.56289,0.0019076,0.0019076,0.0019076
9,35.3286,1.62634,1.41161,1.42487,0.66448,0.55481,0.60477,0.27914,1.89818,1.5791,1.61951,0.0018944,0.0018944,0.0018944
10,39.0504,1.60418,1.36603,1.41839,0.68332,0.55649,0.62824,0.30518,1.85211,1.79919,1.6323,0.0018812,0.0018812,0.0018812
11,42.7992,1.62,1.36122,1.41211,0.72819,0.61551,0.66587,0.28441,1.98482,1.4227,1.65373,0.001868,0.001868,0.001868
12,46.4735,1.59249,1.36022,1.40353,0.75642,0.57504,0.65915,0.29834,1.91234,1.50192,1.62709,0.0018548,0.0018548,0.0018548
13,50.1081,1.64201,1.38892,1.44859,0.71781,0.57841,0.65473,0.33383,1.73257,1.44257,1.50085,0.0018416,0.0018416,0.0018416
14,53.7787,1.63784,1.35559,1.42966,0.76586,0.60034,0.67562,0.30594,1.89095,1.4219,1.58597,0.0018284,0.0018284,0.0018284
15,57.4939,1.58431,1.29034,1.39508,0.73977,0.61214,0.67389,0.31935,1.78988,1.3426,1.50957,0.0018152,0.0018152,0.0018152
16,61.2881,1.60147,1.29284,1.40255,0.7373,0.60877,0.67499,0.31267,1.8399,1.36593,1.55555,0.001802,0.001802,0.001802
17,64.9596,1.54797,1.24339,1.36631,0.76781,0.62226,0.69985,0.35264,1.74927,1.2491,1.49693,0.0017888,0.0017888,0.0017888
18,68.6311,1.57872,1.2524,1.39774,0.72977,0.56661,0.64096,0.32753,1.79425,1.41572,1.51069,0.0017756,0.0017756,0.0017756
19,72.2879,1.53845,1.23436,1.36353,0.7895,0.61383,0.70608,0.34135,1.80098,1.31313,1.50333,0.0017624,0.0017624,0.0017624
20,75.9888,1.55241,1.26291,1.35875,0.74395,0.62227,0.66729,0.29341,1.87284,1.41361,1.5512,0.0017492,0.0017492,0.0017492
21,79.65,1.54847,1.24737,1.37878,0.7446,0.59696,0.662,0.31172,1.85828,1.33682,1.54311,0.001736,0.001736,0.001736
22,83.3594,1.5504,1.22625,1.38278,0.73341,0.63238,0.6822,0.31169,1.87583,1.43878,1.54702,0.0017228,0.0017228,0.0017228
23,87.0059,1.50069,1.19506,1.34846,0.72003,0.63575,0.69099,0.33654,1.71366,1.49295,1.44617,0.0017096,0.0017096,0.0017096
24,90.6937,1.53422,1.18455,1.35603,0.69482,0.58742,0.65364,0.33091,1.73991,1.42268,1.44604,0.0016964,0.0016964,0.0016964
25,94.3744,1.53039,1.19592,1.36171,0.75469,0.60371,0.6753,0.30131,1.88984,1.34249,1.56005,0.0016832,0.0016832,0.0016832
26,98.1308,1.53211,1.18698,1.36662,0.72281,0.58685,0.64903,0.30888,1.82169,1.36796,1.53438,0.00167,0.00167,0.00167
27,101.762,1.53817,1.1847,1.37579,0.7613,0.58853,0.68052,0.32407,1.86288,1.326,1.53946,0.0016568,0.0016568,0.0016568
28,105.4,1.57319,1.16542,1.38472,0.76638,0.56324,0.67091,0.31753,1.84633,1.34764,1.50642,0.0016436,0.0016436,0.0016436
29,109.062,1.54371,1.16827,1.37425,0.78802,0.58929,0.70547,0.35404,1.74251,1.21444,1.48222,0.0016304,0.0016304,0.0016304
30,112.754,1.49576,1.13285,1.34787,0.70988,0.65195,0.69774,0.33984,1.75998,1.28653,1.48937,0.0016172,0.0016172,0.0016172
31,116.39,1.51765,1.1312,1.3614,0.75098,0.61214,0.70116,0.34016,1.78389,1.26453,1.51322,0.001604,0.001604,0.001604
32,120.101,1.46052,1.08569,1.32029,0.73946,0.62901,0.69547,0.35173,1.70397,1.24068,1.45518,0.0015908,0.0015908,0.0015908
33,123.74,1.49491,1.10277,1.34192,0.69942,0.61889,0.6513,0.28581,1.99443,1.33692,1.62839,0.0015776,0.0015776,0.0015776
34,127.409,1.4745,1.1141,1.33148,0.70989,0.56946,0.64208,0.31724,1.82826,1.33766,1.55898,0.0015644,0.0015644,0.0015644
35,131.152,1.46179,1.10238,1.33236,0.7448,0.59528,0.67158,0.3219,1.84149,1.26713,1.54288,0.0015512,0.0015512,0.0015512
36,134.899,1.47689,1.07586,1.33429,0.78248,0.59865,0.69982,0.34739,1.7805,1.21639,1.4912,0.001538,0.001538,0.001538
37,138.562,1.46995,1.07084,1.33551,0.72025,0.64587,0.70089,0.33424,1.79628,1.20771,1.52867,0.0015248,0.0015248,0.0015248
38,142.199,1.49075,1.08381,1.33245,0.79611,0.60577,0.70562,0.33605,1.83148,1.224,1.51488,0.0015116,0.0015116,0.0015116
39,145.851,1.48201,1.08648,1.32771,0.67173,0.62803,0.67103,0.33799,1.75332,1.27164,1.47088,0.0014984,0.0014984,0.0014984
40,149.516,1.48001,1.09455,1.33561,0.72344,0.65599,0.71997,0.35985,1.70318,1.23517,1.44338,0.0014852,0.0014852,0.0014852
41,153.225,1.49609,1.06521,1.34098,0.68359,0.71669,0.71625,0.34789,1.75866,1.28024,1.46875,0.001472,0.001472,0.001472
42,156.959,1.45784,1.06857,1.32263,0.72569,0.62395,0.69082,0.34965,1.76868,1.23775,1.45934,0.0014588,0.0014588,0.0014588
43,160.603,1.44229,1.04615,1.31997,0.77563,0.62732,0.70156,0.32439,1.91231,1.20179,1.58434,0.0014456,0.0014456,0.0014456
