epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.14739,2.06422,2.51402,2.01757,0.5649,0.5801,0.56123,0.22169,1.87167,4.76614,1.75351,0.00034,0.00034,0.00034
2,16.2785,1.75332,1.62547,1.62972,0.33442,0.51096,0.25621,0.10811,2.0167,3.91216,1.76432,0.00068614,0.00068614,0.00068614
3,22.928,1.73981,1.48519,1.59515,0.546,0.50759,0.50528,0.20571,1.9281,2.38623,1.75915,0.00101802,0.00101802,0.00101802
4,29.2418,1.66584,1.43751,1.5402,0.57304,0.50471,0.51279,0.22675,2.02009,1.72394,1.83969,0.00133565,0.00133565,0.00133565
5,35.2198,1.66296,1.37543,1.53595,0.59941,0.51602,0.559,0.26465,1.90182,3.75065,1.78259,0.00163902,0.00163902,0.00163902
6,40.8933,1.68561,1.43026,1.50946,0.50391,0.50927,0.44005,0.18674,1.92324,3.37153,1.76586,0.001802,0.001802,0.001802
7,47.7774,1.66053,1.29903,1.54846,0.55997,0.46712,0.4614,0.17705,2.07982,2.88011,1.89928,0.0017624,0.0017624,0.0017624
8,54.5986,1.71009,1.31997,1.5463,0.59426,0.57841,0.58922,0.26825,1.86036,1.95518,1.69135,0.0017228,0.0017228,0.0017228
9,62.8029,1.65017,1.28197,1.52756,0.7026,0.52614,0.58278,0.24662,2.01715,1.80013,1.78996,0.0016832,0.0016832,0.0016832
10,69.6215,1.60275,1.20858,1.48732,0.72853,0.49073,0.598,0.28342,1.90425,1.66434,1.68408,0.0016436,0.0016436,0.0016436
11,78.77,1.60498,1.20868,1.47651,0.70173,0.57526,0.62734,0.26548,2.1113,1.62884,1.87997,0.001604,0.001604,0.001604
12,87.0273,1.5857,1.18891,1.47294,0.68628,0.51771,0.59612,0.2769,1.89429,1.47383,1.67006,0.0015644,0.0015644,0.0015644
13,95.6913,1.59397,1.17609,1.47859,0.68831,0.58839,0.6291,0.30966,1.82639,1.41502,1.60743,0.0015248,0.0015248,0.0015248
14,106.853,1.57215,1.1423,1.4501,0.71296,0.59897,0.66922,0.3209,1.90626,1.38861,1.68607,0.0014852,0.0014852,0.0014852
15,113.103,1.53705,1.10096,1.43655,0.69464,0.58853,0.65244,0.31702,1.84629,1.31447,1.63056,0.0014456,0.0014456,0.0014456
16,119.295,1.56857,1.12633,1.46804,0.76552,0.58179,0.67219,0.29603,2.03174,1.30163,1.77796,0.001406,0.001406,0.001406
17,125.557,1.52955,1.0598,1.43242,0.73686,0.62395,0.69466,0.32773,1.84963,1.28272,1.61716,0.0013664,0.0013664,0.0013664
18,131.755,1.55091,1.0954,1.45091,0.7413,0.59528,0.68482,0.35726,1.74636,1.245,1.56684,0.0013268,0.0013268,0.0013268
19,138.151,1.51178,1.05885,1.41679,0.70856,0.6425,0.69543,0.33796,1.80782,1.35145,1.61154,0.0012872,0.0012872,0.0012872
20,144.457,1.53736,1.04936,1.42907,0.76295,0.6172,0.70779,0.3347,1.87335,1.15419,1.64601,0.0012476,0.0012476,0.0012476
21,150.733,1.52024,1.04507,1.42735,0.79247,0.60877,0.71175,0.33602,1.85932,1.21296,1.62844,0.001208,0.001208,0.001208
22,156.735,1.47878,1.04725,1.40279,0.71969,0.65093,0.70341,0.34204,1.81885,1.16748,1.58024,0.0011684,0.0011684,0.0011684
23,162.815,1.42025,0.98889,1.3652,0.80124,0.6054,0.71355,0.34158,1.8332,1.1522,1.60895,0.0011288,0.0011288,0.0011288
24,168.899,1.42813,0.96046,1.36147,0.76039,0.63238,0.6941,0.34987,1.75091,1.15933,1.57439,0.0010892,0.0010892,0.0010892
25,175.076,1.41034,0.96634,1.35329,0.72576,0.65093,0.71109,0.36376,1.74714,1.09826,1.56799,0.0010496,0.0010496,0.0010496
26,180.932,1.42581,0.95293,1.35906,0.77907,0.61551,0.70785,0.36106,1.76799,1.12885,1.57606,0.00101,0.00101,0.00101
27,186.536,1.43778,0.97334,1.38069,0.76044,0.63575,0.71513,0.3594,1.79255,1.09218,1.55955,0.0009704,0.0009704,0.0009704
28,192.424,1.46433,0.96578,1.38954,0.74946,0.66779,0.73787,0.37651,1.70477,1.09623,1.52873,0.0009308,0.0009308,0.0009308
