epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50718,2.00117,3.14435,1.82367,0.03356,0.74705,0.20329,0.06946,1.89403,3.11385,1.41431,0.00034,0.00034,0.00034
2,11.2902,1.8191,2.24435,1.47893,0.035,0.77909,0.23152,0.08362,2.12726,2.83989,1.49685,0.00069307,0.00069307,0.00069307
3,16.0786,1.82709,1.71667,1.51308,0.42169,0.30017,0.29971,0.12712,1.92861,2.2847,1.53973,0.00103901,0.00103901,0.00103901
4,20.8786,1.74977,1.6281,1.52597,0.33397,0.2968,0.25291,0.11367,1.99445,2.20364,1.55897,0.00137783,0.00137783,0.00137783
5,25.4528,1.71479,1.54915,1.4672,0.49148,0.4199,0.42149,0.1917,1.98905,1.92309,1.59305,0.00170951,0.00170951,0.00170951
6,30.0051,1.70454,1.54633,1.44005,0.53427,0.49331,0.45879,0.20573,1.8967,1.8473,1.54757,0.001901,0.001901,0.001901
7,34.7177,1.66656,1.48423,1.45921,0.55429,0.47723,0.48935,0.22634,1.85064,2.03794,1.6483,0.0018812,0.0018812,0.0018812
8,38.9194,1.67755,1.46391,1.45463,0.71193,0.56263,0.64032,0.31246,1.77152,1.67749,1.52635,0.0018614,0.0018614,0.0018614
9,42.6718,1.65442,1.43693,1.43124,0.69526,0.52782,0.61227,0.28973,1.88201,1.59588,1.66181,0.0018416,0.0018416,0.0018416
10,46.4556,1.61626,1.38402,1.41158,0.6743,0.52108,0.58734,0.29838,1.83494,1.63984,1.61713,0.0018218,0.0018218,0.0018218
11,50.1417,1.61051,1.36918,1.40564,0.7277,0.60034,0.65141,0.28066,1.92197,1.51567,1.6133,0.001802,0.001802,0.001802
12,53.9364,1.58701,1.34624,1.383,0.72561,0.57167,0.63773,0.28317,1.97828,1.50963,1.63245,0.0017822,0.0017822,0.0017822
13,57.6732,1.64144,1.35165,1.42421,0.73586,0.56377,0.64342,0.30476,1.85707,1.42923,1.55468,0.0017624,0.0017624,0.0017624
14,61.5933,1.62575,1.32067,1.40793,0.71804,0.60708,0.65242,0.2902,1.92458,1.50935,1.57567,0.0017426,0.0017426,0.0017426
